ID,TUMOR,DAY,GROUP,STO2,HB,A,B,STO2_SD,HB_SD,A_SD,B_SD
PS003,P3,6,MG,,,,,,,,
PS008,P1,1,MG,0.601397,4.590399,7.613376,0.318448,0.067567,0.627482,0.179574,0.231593
PS008,P2,1,MG,0.685265,3.238203,7.757786,0.571005,0.070728,0.818194,0.132064,0.198605
PS008,P3,1,MG,0.593059,4.017487,7.616727,0.986484,0.063305,0.552804,0.030889,0.099321
PS008,P1,2,MG,,,,,,,,
PS008,P2,2,MG,,,,,,,,
PS008,P3,2,MG,0.716065,4.834486,7.722638,0.697334,0.024429,0.377834,0.004731,0.151321
PS008,P1,3,MG,0.74095,3.772211,8.395564,0.774754,0.056716,0.8578,0.048295,0.134133
PS008,P2,3,MG,0.775236,4.96666,8.015067,0.877896,0.038261,0.126053,0.023049,0.110748
PS008,P3,3,MG,0.790374,4.705204,7.627967,1.041481,0.027985,0.4559,0.016969,0.08968
PS008,P1,4,MG,,,,,,,,
PS008,P2,4,MG,0.832345,5.293256,6.018346,0.801032,0.030229,0.046734,0.002162,0.017367
PS008,P3,4,MG,0.737856,3.863574,6.723734,0.876261,0,0,0,0
PS008,P1,5,MG,,,,,,,,
PS008,P2,5,MG,0.776448,5.136812,6.843652,0.483297,0.166946,0.087001,0.147042,0.189397
PS008,P3,5,MG,0.777215,5.313535,6.179764,0.628646,0.062455,0.069212,0.050597,0.171884
PS008,P1,6,MG,0.683285,4.799523,8.878257,0.527579,0.051564,0.609379,0.063554,0.172478
PS008,P2,6,MG,0.683773,4.741824,8.684103,0.562353,0.018795,0.188699,0.006369,0.062494
PS008,P3,6,MG,0.702359,4.39807,9.045116,0.698075,0.083699,0.62883,0.042054,0.12765
PS009,P1,1,MG,0.658511215,3.686938606,6.175155567,0.529068037,0.064138429,0.856895899,0.161036938,0.240654653
PS009,P2,1,MG,0.780942218,5.228763854,6.704323066,0.45279206,0.060769689,0.2462306,0.14566054,0.091312598
PS009,P1,2,MG,,,,,,,,
PS009,P2,2,MG,0.991878887,5.028306268,5.940817279,0.10388062,0,0,0,0
PS009,P1,3,MG,0.652172103,5.439313642,7.573659386,0.507710637,0.02392603,0.012558234,0.007894369,0.022621389
PS009,P2,3,MG,,,,,,,,
PS009,P1,4,MG,0.606989338,1.979559448,9.469582728,0.441503099,0.045344222,0.418967714,0.060163993,0.063508645
PS009,P2,4,MG,0.790376853,3.842536454,6.218107827,0.78310011,0.116258441,1.337745546,0.057798967,0.289009753
PS009,P1,5,MG,0.709018469,5.408610266,5.186090692,0.002641431,0,0,0,0
