ID,TUMOR,DAY,GROUP,STO2,HB,A,B,STO2_SD,HB_SD,A_SD,B_SD
C314,P5,6,MG,0.655661,5.21033,7.665315,0.932759,0.062384,0.316597,0.023917,0.137077
C319,P1,1,MG,0.727063,4.436438,7.786914,0.830979,0.01836,0.643541,0.028473,0.053427
C319,P2,1,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C319,P3,1,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C319,P7,1,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C319,P1,2,MG,0.772075,5.206635,7.019754,0.735592,0.115528,0.156475,0.086633,0.135394
C319,P2,2,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C319,P3,2,MG,0.685307,4.401621,7.23616,0.842416,0.049646,0.692598,0.077616,0.102252
C319,P7,2,MG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C319,P1,3,MG,0.789587,4.900913,6.396744,0.271007,0.083588,0.870044,0.080017,0.190427
C319,P2,3,MG,0.774665,4.452133,8.749937,0.491868,0.084919,0.702484,0.097004,0.109459
C319,P3,3,MG,0.708164,3.479264,6.686736,0.56364,0.109642,1.453347,0.051496,0.136084
C319,P7,3,MG,0.800624,5.229665,6.990097,0.594788,0.083455,0.218376,0.057344,0.096876
C319,P1,4,MG,0.615826,5.076203,6.892263,0.183361,0.052089,0.36537,0.015745,0.192238
C319,P2,4,MG,0.669683,4.240367,5.118112,0.042284,0,0,0,0
C319,P3,4,MG,0.757284,4.776856,6.753682,0.859844,0.06131,0.472351,0.021483,0.120685
C319,P7,4,MG,0.696778,4.827036,7.910853,0.701419,0.050993,0.619066,0.039759,0.141443
C319,P1,5,MG,0.694201,3.965037,7.569195,0.558776,0.044886,0.633074,0.024338,0.177598
C319,P2,5,MG,0.798003,5.006719,7.950545,0.814447,0.101279,0.377869,0.051278,0.111297
C319,P3,5,MG,0.68226,4.461933,7.530993,0.968621,0.051295,0.398969,0.022986,0.120723
C319,P7,5,MG,0.804892,5.299208,8.855155,0.391876,0.124918,0.134694,0.075716,0.118425
C319,P1,6,MG,0.749169,4.801134,8.117369,0.439821,0.16854,0.574155,0.11587,0.123044
C319,P2,6,MG,0.823109,4.801258,9.011099,0.73236,0.087785,0.719509,0.06583,0.159784
C319,P3,6,MG,0.727446,4.458105,8.316373,0.906387,0.058858,0.890242,0.075437,0.096225
C319,P7,6,MG,0.468302,4.072429,8.600637,0.90734,0.055083,0.932956,0.077482,0.200525
